oblast,region,depth,parent_text,text,leaf,id,y012025,y022025,y032025,y042025,y052025,y062025,y072025,y082025,y092025,y102025,y112025,y122025,y012026,y022026
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Строительство,Строительство зданий,False,18710963,,,,,,,,,,,,1353729,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Строительство зданий,Разработка строительных проектов,False,18710964,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Разработка строительных проектов,Разработка строительных проектов,False,18710965,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Разработка строительных проектов,Разработка строительных проектов,True,18710966,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Строительство зданий,Строительство жилых и нежилых зданий,False,18710967,,,,,,,,,,,,1353729,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Строительство жилых и нежилых зданий,Строительство жилых и нежилых зданий,False,18710968,,,,,,,,,,,,1353729,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Строительство жилых и нежилых зданий,Строительство жилых зданий,True,18710969,,,,,,,,,,,,1353729,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Строительство,Гражданское строительство,False,448157,,,,,,,,,,,,,,105494462.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Гражданское строительство,Строительство автомобильных и железных дорог,False,448158,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Строительство автомобильных и железных дорог,Строительство железных дорог и метро,False,448161,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Строительство железных дорог и метро,Строительство железных дорог и метро,True,448162,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Строительство автомобильных и железных дорог,Строительство мостов и туннелей,False,448163,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Строительство мостов и туннелей,Строительство мостов и туннелей,True,448164,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Гражданское строительство,Строительство распределительных инженерных сооружений,False,448165,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Строительство распределительных инженерных сооружений,Строительство трубопроводов,False,448166,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Строительство трубопроводов,Строительство прочих трубопроводов,True,448169,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Гражданское строительство,Строительство прочих инженерных сооружений,False,18696516,,,,,,,,,,,,,,105494462.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Строительство прочих инженерных сооружений,"Строительство прочих инженерных сооружений, не включенных в другие группировки",False,18696517,,,,,,,,,,,,,,105494462.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Строительство прочих инженерных сооружений, не включенных в другие группировки","Строительство прочих инженерных сооружений, не включенных в другие группировки",True,18696518,,,,,,,,,,,,,,105494462.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Строительство,Специализированные строительные работы,False,448177,,,,,,x,x,x,x,x,x,x,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Специализированные строительные работы,"Снос  зданий и сооружений, подготовка строительного участка",False,448178,,,,,,x,x,x,x,x,x,x,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,"Снос  зданий и сооружений, подготовка строительного участка",Подготовка строительного участка,False,448181,,,,,,x,x,x,x,x,x,x,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Подготовка строительного участка,Взрывные работы,True,448183,,,,,,x,x,x,x,x,x,x,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Специализированные строительные работы,"Монтаж и установка электрического, водопроводного и прочего оборудования",False,448187,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,"Монтаж и установка электрического, водопроводного и прочего оборудования",Прочие строительно-монтажные работы,False,448192,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Прочие строительно-монтажные работы,"Прочие строительно-монтажные работы, не включенные в другие группировки",True,448194,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Специализированные строительные работы,Прочие специализированные строительные работы,False,448207,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Прочие специализированные строительные работы,"Прочие специализированные строительные работы, не включенные в другие группировки",False,448210,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Прочие специализированные строительные работы, не включенные в другие группировки","Прочие строительные работы, требующие специальной квалификации",True,448214,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,1,Всего,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,False,448215,144847057.0,151779057,153202057,153202057,153202057,153202057,153202057,153202057,1168938198,1168938198,2612312336,4892770253,3061897.0,3061897.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,False,448216,,,,,,,,,,,,1733830007,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт,Техническое обслуживание и ремонт автомобилей,False,448224,,,,,,,,,,,,1733830007,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Техническое обслуживание и ремонт автомобилей,Техническое обслуживание и ремонт автомобилей,False,448225,,,,,,,,,,,,1733830007,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Техническое обслуживание и ремонт автомобилей,"Техническое обслуживание и ремонт автомобилей, за исключением произведенных станциями технического обслуживания, находящимися на придорожной полосе",True,20575904,,,,,,,,,,,,1733830007,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами",False,448237,143664509.0,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,340430514,3061897.0,3061897.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами","Оптовая торговля продуктами питания, напитками и табачными изделиями",False,448267,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,"Оптовая торговля продуктами питания, напитками и табачными изделиями","Оптовая торговля прочими продуктами питания, включая рыбу, ракообразных и моллюсков",False,448282,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Оптовая торговля прочими продуктами питания, включая рыбу, ракообразных и моллюсков",Оптовая торговля рыбой и рыбными продуктами,True,448283,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами",Оптовая торговля непродовольственными товарами потребительского назначения,False,448287,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Оптовая торговля непродовольственными товарами потребительского назначения,Оптовая торговля фармацевтическими товарами,False,448301,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Оптовая торговля фармацевтическими товарами,"Оптовая торговля фармацевтическими товарами, кроме торговли медицинской техникой и ортопедическими  изделиями",True,18946138,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами",Прочая специализированная оптовая торговля ,False,448331,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Прочая специализированная оптовая торговля ,Оптовая торговля химической продукцией,False,448358,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Оптовая торговля химической продукцией,Оптовая торговля химическими веществами и химическими продуктами,True,448359,,,,,,,,,,,,,,
